,GHI_Open_Field (W/m2),GHI_Agrivoltaic (W/m2),Temperature_Open_Field (C),Temperature_Agrivoltaic (C),Wind_Speed (m/s),Relative_Humidity (%),Panel_Tilt (degrees)
2022-06-25 18:00:00+00:00,25.0,25.0,23.66,22.46,2.41,87.15,6.9650303566540845
2022-06-25 19:00:00+00:00,0.0,0.0,22.92,21.720000000000002,2.62,90.05,0.0
2022-06-25 20:00:00+00:00,0.0,0.0,22.45,21.25,2.14,93.05,0.0
2022-06-25 21:00:00+00:00,0.0,0.0,22.03,20.830000000000002,1.66,96.15,0.0
2022-06-25 22:00:00+00:00,0.0,0.0,21.56,20.36,1.52,99.4,0.0
2022-06-25 23:00:00+00:00,0.0,0.0,21.17,19.970000000000002,1.1,96.15,0.0
2022-06-26 00:00:00+00:00,0.0,0.0,21.26,20.060000000000002,0.76,96.15,0.0
2022-06-26 01:00:00+00:00,0.0,0.0,21.39,20.19,0.69,99.4,0.0
2022-06-26 02:00:00+00:00,0.0,0.0,21.65,20.45,0.41,96.15,0.0
2022-06-26 03:00:00+00:00,0.0,0.0,21.07,19.87,0.69,99.4,0.0
2022-06-26 04:00:00+00:00,8.0,8.0,20.24,19.04,0.97,99.4,4.583501269185604
2022-06-26 05:00:00+00:00,44.0,44.0,21.22,20.02,0.41,99.4,17.647562968527637
2022-06-26 06:00:00+00:00,122.0,122.0,21.55,20.35,0.07,99.4,38.62939341903906
2022-06-26 07:00:00+00:00,434.0,415.88,21.77,20.57,0.97,89.95,53.76522656591322
2022-06-26 08:00:00+00:00,645.0,537.6,22.72,21.52,1.45,81.45,42.07277512119534
2022-06-26 09:00:00+00:00,110.0,110.0,24.31,23.11,1.1,69.05,29.38551980623526
2022-06-26 10:00:00+00:00,374.0,369.5,25.27,24.07,1.31,62.55,15.723923875477501
2022-06-26 11:00:00+00:00,961.0,587.56,25.58,24.38,3.17,64.7,1.4177843615523318
2022-06-26 12:00:00+00:00,924.0,601.04,24.94,23.740000000000002,4.0,64.6,12.951878594216597
2022-06-26 13:00:00+00:00,798.0,621.36,24.64,23.44,3.79,66.75,26.777255933044398
2022-06-26 14:00:00+00:00,716.0,682.46,25.02,23.82,3.38,60.35,39.66858544868062
2022-06-26 15:00:00+00:00,554.0,554.0,25.02,23.82,3.03,56.35,51.547602740618636
2022-06-26 16:00:00+00:00,366.0,366.0,24.89,23.69,2.62,54.45,47.83294813464032
2022-06-26 17:00:00+00:00,184.0,184.0,24.38,23.18,2.41,58.2,20.647028233200615
2022-06-26 18:00:00+00:00,30.0,30.0,23.48,22.28,2.48,62.15,6.978395934337898
2022-06-26 19:00:00+00:00,0.0,0.0,23.18,21.98,2.41,68.85,0.0
2022-06-26 20:00:00+00:00,0.0,0.0,22.44,21.240000000000002,2.48,76.1,0.0
2022-06-26 21:00:00+00:00,0.0,0.0,21.83,20.63,2.62,78.65,0.0
2022-06-26 22:00:00+00:00,0.0,0.0,21.39,20.19,2.69,84.05,0.0
2022-06-26 23:00:00+00:00,0.0,0.0,21.04,19.84,2.62,86.9,0.0
2022-06-27 00:00:00+00:00,0.0,0.0,20.7,19.5,2.48,86.9,0.0
2022-06-27 01:00:00+00:00,0.0,0.0,20.3,19.1,2.34,89.85,0.0
2022-06-27 02:00:00+00:00,0.0,0.0,19.73,18.53,2.0,86.85,0.0
2022-06-27 03:00:00+00:00,0.0,0.0,19.02,17.82,1.59,92.9,0.0
2022-06-27 04:00:00+00:00,51.0,51.0,19.1,17.900000000000002,1.1,89.85,4.5076546075307204
2022-06-27 05:00:00+00:00,209.0,209.0,19.47,18.27,0.9,92.9,17.558406481770334
2022-06-27 06:00:00+00:00,401.0,401.0,21.69,20.490000000000002,1.03,81.35,38.426222617139345
2022-06-27 07:00:00+00:00,582.0,529.08,22.78,21.580000000000002,1.24,73.6,53.826118663978555
2022-06-27 08:00:00+00:00,705.0,558.0,23.68,22.48,1.52,66.65,42.133499296909164
2022-06-27 09:00:00+00:00,828.0,552.0,24.43,23.23,1.86,64.5,29.445343802734715
2022-06-27 10:00:00+00:00,832.0,584.0,24.77,23.57,2.14,62.45,15.780875356833844
2022-06-27 11:00:00+00:00,915.0,600.6,25.13,23.93,2.48,62.45,1.4691019656668083
2022-06-27 12:00:00+00:00,869.0,608.08,25.12,23.92,2.76,62.45,12.908649207813161
2022-06-27 13:00:00+00:00,835.0,628.92,25.08,23.88,2.97,64.6,26.74322062325835
2022-06-27 14:00:00+00:00,725.0,690.5,25.03,23.830000000000002,2.97,66.85,39.64332699955677
2022-06-27 15:00:00+00:00,557.0,557.0,24.64,23.44,2.69,69.05,51.52975409488258
2022-06-27 16:00:00+00:00,369.0,369.0,24.29,23.09,2.28,69.05,47.909792961959745
2022-06-27 17:00:00+00:00,185.0,185.0,23.98,22.78,1.93,73.75,20.65942513101115
2022-06-27 18:00:00+00:00,30.0,30.0,23.47,22.27,1.52,76.2,6.985080533035085
2022-06-27 19:00:00+00:00,0.0,0.0,22.73,21.53,1.17,81.45,0.0
2022-06-27 20:00:00+00:00,0.0,0.0,21.88,20.68,0.9,87.0,0.0
2022-06-27 21:00:00+00:00,0.0,0.0,22.32,21.12,0.55,87.05,0.0
2022-06-27 22:00:00+00:00,0.0,0.0,22.1,20.900000000000002,0.14,89.95,0.0
2022-06-27 23:00:00+00:00,0.0,0.0,21.77,20.57,0.0,89.95,0.0
2022-06-28 00:00:00+00:00,0.0,0.0,21.45,20.25,0.34,93.0,0.0
2022-06-28 01:00:00+00:00,0.0,0.0,21.09,19.89,0.48,96.15,0.0
2022-06-28 02:00:00+00:00,0.0,0.0,20.71,19.51,0.55,96.15,0.0
2022-06-28 03:00:00+00:00,0.0,0.0,20.12,18.92,0.62,99.4,0.0
2022-06-28 04:00:00+00:00,34.0,34.0,18.8,17.6,0.83,99.4,4.426209074491707
2022-06-28 05:00:00+00:00,186.0,186.0,19.73,18.53,0.9,96.1,17.463144614325675
2022-06-28 06:00:00+00:00,381.0,381.0,21.03,19.830000000000002,1.24,96.15,38.21238634321423
2022-06-28 07:00:00+00:00,435.0,416.76,22.67,21.470000000000002,0.55,81.45,53.890449257146365
2022-06-28 08:00:00+00:00,596.0,516.5,23.63,22.43,0.83,73.75,42.19697946009267
2022-06-28 09:00:00+00:00,673.0,544.66,24.69,23.490000000000002,1.38,69.15,29.50704365257542
2022-06-28 10:00:00+00:00,790.0,587.0,25.58,24.38,2.21,64.7,15.838596887833747
2022-06-28 11:00:00+00:00,783.0,605.4,25.8,24.6,2.83,64.8,1.5199261834686035
2022-06-28 12:00:00+00:00,908.0,607.04,25.85,24.650000000000002,3.24,64.8,12.867172725887547
2022-06-28 13:00:00+00:00,820.0,628.0,25.79,24.59,3.45,64.8,26.712028391172147
2022-06-28 14:00:00+00:00,693.0,663.42,25.53,24.330000000000002,3.24,66.95,39.62176043281333
